-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 11/01/2020 through 02/28/2021 
Location: Latitude  31.0296   Longitude 31.4352 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 4.96 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M         MERRA-2 Temperature at 2 Meters (C) 
WS10M       MERRA-2 Wind Speed at 10 Meters (m/s) 
RH2M        MERRA-2 Relative Humidity at 2 Meters (%) 
T2M_MAX     MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN     MERRA-2 Temperature at 2 Meters Minimum (C) 
-END HEADER-
YEAR,MO,DY,T2M,WS10M,RH2M,T2M_MAX,T2M_MIN
2020,11,1,23.11,3.75,59.12,29.19,19.47
2020,11,2,22.44,3.59,59.62,29.1,17.95
2020,11,3,21.93,3.82,56.94,28.48,17.28
2020,11,4,22.27,4.96,58.88,28.18,18.39
2020,11,5,21.76,5.23,56.44,26.76,18.39
2020,11,6,21.12,2.48,59.12,26.52,17.69
2020,11,7,20.7,1.99,66.31,26.18,16.46
2020,11,8,21.41,2.24,59.19,27.09,16.19
2020,11,9,21.2,3.23,57.19,27.67,15.4
2020,11,10,20.74,4.21,67.69,27.39,16.16
2020,11,11,19.96,3.09,62.25,27.09,14.08
2020,11,12,21.04,2.12,59.94,27.63,15.87
2020,11,13,21.76,1.77,61.38,28.58,16.98
2020,11,14,20.64,4.02,72.62,26.33,17.07
2020,11,15,19.16,4.78,63.56,24.13,15.51
2020,11,16,19.8,3.74,63.38,25.46,15.76
2020,11,17,19.15,3.1,61.06,25.9,14.16
2020,11,18,19.9,3.44,64.25,26.67,14.83
2020,11,19,19.61,3.7,68.5,26.03,15.44
2020,11,20,16.63,5.0,76.38,21.75,13.76
2020,11,21,16.76,4.39,73.56,22.43,12.32
2020,11,22,18.64,2.23,69.06,24.98,14.31
2020,11,23,19.01,3.35,75.94,24.86,14.69
2020,11,24,19.55,3.29,71.62,24.37,16.33
2020,11,25,17.19,3.98,78.88,19.86,15.2
2020,11,26,17.83,3.82,69.56,22.01,15.14
2020,11,27,17.93,1.46,64.12,22.6,14.31
2020,11,28,16.6,2.6,66.88,22.4,11.97
2020,11,29,17.12,1.52,66.75,23.02,12.45
2020,11,30,17.43,1.58,57.88,23.76,12.05
2020,12,1,15.58,2.9,56.81,24.31,8.97
2020,12,2,16.79,1.71,65.31,23.04,10.81
2020,12,3,17.23,2.13,55.25,24.47,11.44
2020,12,4,16.3,2.71,58.81,23.3,10.69
2020,12,5,16.05,3.59,63.81,22.69,11.0
2020,12,6,16.48,2.3,61.0,23.69,10.08
2020,12,7,17.4,4.7,46.38,26.55,11.74
2020,12,8,17.12,3.58,71.19,24.47,12.98
2020,12,9,16.37,2.09,65.75,23.55,12.36
2020,12,10,15.85,1.89,63.19,23.39,10.02
2020,12,11,16.08,3.12,42.88,25.14,9.65
2020,12,12,16.36,2.65,56.44,23.05,10.0
2020,12,13,18.17,2.98,43.0,26.73,12.05
2020,12,14,16.6,6.46,49.0,21.87,13.81
2020,12,15,15.65,6.62,72.81,20.71,11.97
2020,12,16,16.44,3.34,77.31,21.9,13.37
2020,12,17,16.68,1.98,72.12,22.98,12.96
2020,12,18,16.48,2.04,72.88,23.03,12.57
2020,12,19,16.53,3.16,76.06,22.92,12.14
2020,12,20,15.77,3.45,76.88,22.35,11.77
2020,12,21,16.69,3.52,77.25,23.91,11.69
2020,12,22,16.49,3.42,74.06,22.49,13.05
2020,12,23,15.97,4.07,71.56,21.55,13.12
2020,12,24,16.08,3.41,64.75,21.38,12.66
2020,12,25,16.63,2.43,61.69,22.62,12.81
2020,12,26,16.95,5.02,68.69,24.22,12.0
2020,12,27,18.54,4.31,66.31,26.41,13.55
2020,12,28,16.36,2.53,60.81,24.76,10.13
2020,12,29,15.8,2.55,74.75,23.75,10.41
2020,12,30,16.05,3.4,73.81,23.3,11.5
2020,12,31,16.22,2.65,75.06,22.9,11.94
2021,1,1,16.34,3.36,73.38,22.86,11.0
2021,1,2,17.39,3.35,74.94,23.49,12.74
2021,1,3,16.98,3.22,80.0,24.05,12.22
2021,1,4,17.41,2.73,79.25,24.4,12.48
2021,1,5,18.16,2.05,78.06,26.14,13.97
2021,1,6,17.54,2.16,79.75,24.39,13.62
2021,1,7,18.29,2.59,73.06,27.68,12.87
2021,1,8,17.49,2.2,72.06,26.51,12.55
2021,1,9,17.39,2.41,71.81,25.97,12.72
2021,1,10,17.51,3.32,73.69,25.91,11.99
2021,1,11,18.23,3.88,71.31,27.41,12.34
2021,1,12,17.98,3.32,52.25,27.69,9.83
2021,1,13,17.11,5.93,50.19,21.11,12.64
2021,1,14,13.95,6.0,70.62,18.26,10.4
2021,1,15,13.5,3.7,64.06,20.15,9.23
2021,1,16,13.26,5.18,59.94,20.09,7.33
2021,1,17,13.4,7.12,64.38,19.56,8.52
2021,1,18,12.75,4.8,61.75,18.33,9.38
2021,1,19,11.18,5.41,75.62,14.87,8.32
2021,1,20,11.58,5.94,65.31,16.62,7.26
