-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 11/01/2020 through 02/28/2021 
Location: Latitude  51.5072   Longitude 10.8308 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 357.57 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M         MERRA-2 Temperature at 2 Meters (C) 
WS10M       MERRA-2 Wind Speed at 10 Meters (m/s) 
RH2M        MERRA-2 Relative Humidity at 2 Meters (%) 
T2M_MAX     MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN     MERRA-2 Temperature at 2 Meters Minimum (C) 
-END HEADER-
YEAR,MO,DY,T2M,WS10M,RH2M,T2M_MAX,T2M_MIN
2020,11,1,11.3,5.29,93.38,13.78,7.8
2020,11,2,15.28,6.98,88.31,18.38,13.05
2020,11,3,8.85,3.68,80.69,12.32,5.83
2020,11,4,4.4,2.92,92.12,8.44,2.48
2020,11,5,3.69,2.39,92.94,8.25,1.25
2020,11,6,5.57,1.83,93.31,10.93,2.39
2020,11,7,3.92,2.97,81.56,12.12,-1.15
2020,11,8,5.59,2.27,87.38,12.54,1.18
2020,11,9,5.38,1.88,90.19,10.58,1.41
2020,11,10,3.35,1.98,93.62,6.58,0.87
2020,11,11,5.72,2.12,97.25,7.58,4.37
2020,11,12,5.75,4.12,96.44,7.96,3.8
2020,11,13,5.83,3.77,95.25,8.4,3.21
2020,11,14,8.56,3.98,96.56,12.41,7.08
2020,11,15,8.56,5.54,91.12,11.94,6.33
2020,11,16,8.23,5.21,91.56,10.39,6.56
2020,11,17,7.38,5.0,95.62,8.47,6.36
2020,11,18,7.0,4.08,93.5,10.48,5.27
2020,11,19,5.99,6.05,89.38,8.49,0.69
2020,11,20,1.48,3.73,96.94,3.4,0.24
2020,11,21,1.31,5.55,87.69,3.68,-0.77
2020,11,22,3.91,5.22,92.75,5.27,2.19
2020,11,23,3.09,3.69,95.88,5.77,-0.24
2020,11,24,1.83,3.49,96.38,4.33,0.1
2020,11,25,1.19,4.02,93.12,5.25,-0.36
2020,11,26,2.26,3.65,94.75,3.73,1.23
2020,11,27,2.51,1.59,93.75,5.8,-0.05
2020,11,28,1.17,2.85,93.38,3.46,-2.06
2020,11,29,-0.8,1.52,94.75,2.28,-2.5
2020,11,30,-1.11,3.49,90.69,1.59,-2.39
2020,12,1,-0.44,3.13,92.44,1.53,-1.49
2020,12,2,-1.74,1.77,94.44,1.66,-3.52
2020,12,3,-2.26,4.48,90.12,0.4,-3.75
2020,12,4,-0.67,4.23,87.56,2.54,-2.81
2020,12,5,-0.54,2.58,97.31,1.74,-2.44
2020,12,6,0.81,2.34,98.5,1.95,-0.12
2020,12,7,0.64,3.29,98.0,2.74,-1.13
2020,12,8,-0.46,2.39,98.38,3.32,-2.29
2020,12,9,-0.31,1.55,97.31,2.07,-1.43
2020,12,10,-0.68,1.68,98.31,1.47,-1.6
2020,12,11,-0.87,3.66,94.25,0.62,-1.7
2020,12,12,0.44,2.38,95.62,1.89,-0.53
2020,12,13,0.95,2.38,99.5,1.91,0.28
2020,12,14,1.45,4.83,93.56,3.48,-0.1
2020,12,15,1.9,4.1,94.81,3.78,-0.25
2020,12,16,3.67,2.69,97.69,6.58,1.19
2020,12,17,2.71,4.93,96.0,4.52,0.76
2020,12,18,2.55,4.17,97.44,3.3,1.62
